Wer glücklich reisen will, reise mit leichtem Gepäck.;Antoine de Saint-Exupery
Alles in allem wird deutlich, daß die Zukunft große Chancen bereithält - sie enthält aber auch Fallstricke. Der Trick ist, den Fallstricken aus dem Weg zu gehen, die Chancen zu ergreifen und bis sechs Uhr wieder zu Hause zu sein.;Woody Allen (1935)
Die Erfahrung ist wie eine Laterne im Rücken, sie beleuchtet stets nur das Stück Weg, das wir bereits hinter uns haben.;Konfuzius
Ja, ich bin jetzt Deutschland-Fan. Deutschland ist wirklich super, mit Problemen zwar, aber wer hat die nicht? Ich fordere eine Weltreise für jeden Deutschen! Zehn Prozent käme nicht mehr zurück, weil sie es woanders besser finden - und der Rest kommt über die Grenze und sagt: 'Danke, dass ich wieder rein darf!';Harald Schmidt
A child on a farm sees a plane fly by overhead and dreams of a faraway place A traveler on the plane sees the farmhouse and dreams of home ;Carl Burns
A good traveler has no fixed plans, and is not intent on arriving.;Lao Tzu
Achte auf deine Gedanken - sie sind der Anfang deiner Taten.;aus China
Alkohol ist nicht die Antwort. Hilft aber, die Frage nicht so ernst zu nehmen.;Klaus Klages
All I can do is be me, whoever that is.;Bob Dylan
Als deutscher Tourist im Ausland steht man vor der Frage, ob man sich anständig benehmen muss oder ob schon deutsche Touristen da gewesen sind.;Kurt Tucholsky
Auch der Vielgereiste fuhr nur bis zur Grenze seines Horizonts.;Martin Gerhard Reisenberg,
Auf den Alkohol – den Ursprung und die Lösung aller zivilisatorischen Probleme;Homer Simpson
Begib dich einmal imJahr an einen Ort, an dem du noch nicht gewesen bist;Dalai Lama
Bereits die Einstellung, sich weniger Sorgen zu machen, kann für mehr Freude im Leben sorgen.;Ernst Ferstl
Bildung ist etwas Wunderbares. Doch sollte man sich von Zeit zu Zeit daran erinnern, dass wirklich Wissenswertes nicht gelehrt werden kann.;Oscar Wilde
Bis zur Unendlichkeit und darüber hinaus!;Buzz Lightyear
"Certainly, travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living.";Miriam Beard
Das Geld, das man besitzt, ist das Mittel zur Freiheit, dasjenige, dem man nachjagt, das Mittel zur Knechtschaft.;Jean-Jaques Rousseau
Das Halbverstandene und Halberfahrene ist nicht die Vorstufe der Bildung, sondern ihr Todfeind.;Theodor Adorno
Das Leben hat keinen Sinn außer dem, den wir ihm geben.;Thornton Wilder
Das Leben ist eine Reise. Nimm nicht zu viel Gepäck mit.;Billy Idol
Das Leben ist wie ein Buch, und wer nicht reist, liest nur ein wenig davon!;Jean Paul
Das Leben ist zu wichtig, als dass man es ernst nehmen könnte;Oscar Wilde
Das Reisen ist eine Passion, in dem wunderbaren Doppelsinn dieses Wortes, der im Wort Leidenschaft vollkommen nachgeformt ist: eine Passion, kein Vergnügen.;Erich Kästner
Das schöne Gefühl, Geld zu haben, ist nicht so intensiv, wie das Scheißgefühl, kein Geld zu haben.;Herbert Achternbusch
Das wahre Reisen ist einzig und allein von jenen zu lernen, die um des Reisens willen auf die Reise gehen und stets wie bunte Ballons, die sich nie von ihrem Schicksal entfernen, leichten Herzen sind und sagen, ohne zu wissen warum: Auf geht's!;Saul Bellow
Das ärgerliche am Ärger ist, daß man sich schadet, ohne anderen zu nützen.;Kurt Tucholsky
Daß man die größten Wunder zu Hause erlebt, das lernt man erst in der Fremde erkennen.;Wilhelm Raabe
Der Anfang ist die Hälfte des Ganzen.;Aristoteles
Der beliebteste Fehler unter den Leuten, die etwas absolut idiotensicheres konstruieren wollen ist der, daß sie den Erfindungsreichtum von absoluten Idioten unterschätzen.;Douglas Adams
Der Charakter offenbart sich nicht an großen Taten; an Kleinigkeiten zeigt sich die Natur des Menschen.;Jean-Jaques Rousseau
Der Durchschnittsmensch, der nicht weiß, was er mit diesem Leben anfangen soll, wünscht sich ein anderes, das ewig dauern soll.;Anatole France
Der Furchtsame erschrickt vor der Gefahr, der Feige in ihr, der Mutige nach ihr.;Jean Paul
Der Gebildete treibt die Genauigkeit nicht weiter, als es der Natur der Sache entspricht.;Aristoteles
Der Gewinn eines langen Aufenthaltes außerhalb unseres Landes liegt vielleicht weniger in dem, was wir über fremde Länder erfahren, sondern in dem, was wir dabei über uns selbst lernen.;Roger Peyrefitte
Der kürzeste Weg zu dir selbst führt einmal um die Welt.;Richard Hoffmann
Der längste Teil einer Reise – sagt man – ist das Durchschreiten der Haustür.;Marcus Trentus Varro
Der Meister sucht das Glück nicht einmal. Ihm genügt der Zustand der Seele, so wie er ist. Und die Endlosigkeit.;Janosch
Der Mensch bereist die Welt auf der Suche nach dem, was ihm fehlt. Und er kehrt nach Hause zurück, um es zu finden.;George Moore
Der Mensch ist nichts anderes als wozu er sich macht.;Jean-Paul Sartre
Der Mensch lebt nicht vom Brot allein. Nach einer Weile braucht er einen Drink.;Woody Allen
Der sicherste Reichtum ist die Armut an Bedürfnissen.;Franz Werfel
Der Sinn des Lebens läßt sich nicht erkennen. Gäbe es ihn, würde er sich melden. Weise ist daher, wer ihn nicht sucht.;Janosch
Der wahre Reisende weiß nicht, wohin die Reise geht, der wahre Abenteurer weiß nicht, was er erleben wird. Seine Reisen führen ihn nicht eher in eine Richtung als in eine andere. Seine Neugierde ist nicht auf einen bestimmten Punkt gerichtet.;Chuang-tzu
Der wahre Reisende weiß nicht, wohin die Reise geht, der wahre Abenteurer weiß nicht, was er erleben wird. Seine Reisen führen ihn nicht eher in eine Richtung als in eine andere. Seine Neugierde ist nicht auf einen bestimmten Punkt gerichtet. ;Chuang-tzu
Der Weg entsteht im Gehen wie durch ein Wunder.;Reinhold Schneider
Die beste Art, die Menschen zu nehmen, ist die, daß man sie als das nimmt, was sie selbst zu sein glauben.;William Faulkner
Die beste Bildung findet ein gescheiter Mensch auf Reisen.;Johann Wolfgang von Goethe
Die Freiheit besteht in erster Linie nicht aus Privilegien, sondern aus Pflichten.;Albert Camus
Die Freiheit besteht in erster Linie nicht aus Privilegien, sondern aus Pflichten.;Albert Camus
Die Freiheit des Menschen liegt nicht darin, dass er tun kann, was er will, sondern dass er nicht tun muss, was er nicht will.;Jean-Jacques Rousseau
Die gefährlichste aller Weltanschauungen ist die Weltanschauung der Leute, welche die Welt nicht angeschaut haben.;Alexander von Humboldt
Die größte Gefahr im Leben ist, dass man zu vorsichtig wird.;Alfred Adler
Die Liebe besteht zu drei Viertel aus Neugier.;Giacomo Casanova
Die meisten Menschen machen sich selbst bloß durch übertriebene Forderungen an das Schicksal unzufrieden.;Wilhelm von Humboldt
Die Phantasie tröstet die Menschen über das hinweg, was sie nicht sein können, und der Humor über das, was sie tatsächlich sind.;Albert Camus
Die Realität ist immer noch schräger als alle Fiktion. ;Doris Dörrie
"Die Reise gleicht einem Spiel es ist immer Gewinn und Verlust dabei,und meist von der unerwarteten Seite;man empfängt mehr oder weniger,als man hofft. Für Naturen wie die meine ist eine Reise unschätzbar sie belebt, berichtigt, belehrt und bildet.";Johann Wolfgang von Goethe
"Die Reise gleicht einem Spiel es ist immer Gewinn und Verlust dabei, und meist von der unerwarteten Seite; man empfängt mehr oder weniger, als man hofft, man kann ungestraft eine Weile hinschlendern, und dann ist man wieder genötigt, sich einen Augenblick zusammenzunehmen. Für Naturen wie die meine, die sich gerne festsetzen und die Dinge festhalten, ist eine Reise unschätzbar: sie belebt, berichtigt, belehrt und bildet.";Johann Wolfgang von Goethe
Die Vorstellung ist wundervoll, aber noch wundervoller ist das Erlebnis!;Oskar Wilde
Die wahren Lebenskünstler sind bereits glücklich, wenn sie nicht unglücklich sind.;Jean Anouilh
Die Wahrheit ist, es hat niemals auf der Welt viele bemerkenswerte Leute gegeben. Die meisten stützen sich ständig auf den Typ gerade neben ihnen - und fragen, was sie tun sollen.;Woody Allen
Die Weisheit eines Menschen mißt man nicht nach seinen Erfahrungen, sondern nach seiner Fähigkeit, Erfahrungen zu machen. ;George Bernard Shaw
Die Zukunft gehört denen, die an die Wahrhaftigkeit ihrer Träume glauben.;Eleanor Roosevelt
Diese sogenannten Kakerlaken-Touristen sind auch interessant. Sie werden später reich und kommen dann vielleicht als Studienreisende wieder.;Ägyptisches FVA zum Rucksack-Tourismus
Drei Wünsche: die Gelassenheit, alles das hinzunehmen, was nicht zu ändern ist, die Kraft zu ändern, was nicht länger zu ertragen ist und die Weisheit das eine vom anderen zu unterscheiden.;Jochen Mariss
Durch nichts bezeichnen die Menschen mehr ihren Charakter als durch das, was sie lächerlich finden.;Johann Wolfgang von Goethe
Ein Abend, an dem sich alle Anwesenden einig sind, ist ein verlorener Abend.;Albert Einstein (1879-1955)
Ein Buch, das man liebt, darf man nicht leihen, sondern muß es besitzen.;Friedrich Nietzsche
Ein Haus ohne Bücher ist arm, auch wenn schöne Teppiche seinen Boden und kostbare Tapeten und Bilder die Wände bedecken.;Hermann Hesse
Ein Lebenskünstler ist ein Mensch, der aus dem Zweitbesten das Beste macht.;Werner Mitsch
Eine Nacht im Grandhotel ist Luxus für den Körper. Eine Nacht unterm Sternenzelt ist Luxus für die Seele.;Till Eitel
Eine Reise ist wie ein Schluck aus der Quelle des Lebens;Friedrich Hebbel
Eine Reise von tausend Meilen beginnt mit einem einzigen Schritt.;Lao-tse
Entweder man denkt positiv oder gar nicht.;n.n.
Entwirf deinen Reiseplan im großen - und laß dich im einzelnen von der bunten Stunde treiben. Die Größte Sehenswürdigkeit, die es gibt, ist die Welt - sieh sie dir an.;Kurt Tucholsky
Erfahrung nennt man die Summe aller unserer Irrtümer.;Thomas Alva Edison
Erst die Fremde lehrt uns, was wir an der Heimat haben.;Theodor Fontane
Es gibt Besserwisser, die niemals begreifen, daß man recht haben und ein Idiot sein kann.;Martin Kessel
Es gibt kein sichereres Mittel festzustellen, ob man einen Menschen mag oder nicht, als mit ihm auf Reisen zu gehen.;Mark Twain
Es gibt keine großen Entdeckungen und Fortschritte, solange es noch ein unglückliches Kind auf Erden gibt.;Albert Einstein (1879-1955)
Es ist besser, Genossenes zu bereuen, als zu bereuen, daß man nichts genossen hat.;Giovanni Boccacio
Es ist ein großer Vorteil im Leben, die Fehler, aus denen man lernen kann, möglichst früh zu begehen.;Winston Churchill
Es ist nicht wenig Zeit, die wir zur Verfügung haben, sondern es ist viel Zeit, die wir nicht nutzen.;Lucius Annaeus Seneca
Es ist nie zu spät, das zu werden, was man hätte sein können.;George Elliot
Glücklich, wer mit den Verhältnissen zu brechen versteht, ehe sie ihn gebrochen haben!;Franz Liszt
Good company in a journey makes the way seem shorter.;Izaak Walton
Hoffnung ist nicht die Überzeugung, daß etwas gut ausgeht, sondern die Gewissheit, dass etwas Sinn hat, egal wie es ausgeht.;Vaclav Havel
Hohe Bildung kann man dadurch beweisen, daß man die kompliziertesten Dinge auf einfache Art zu erläutern versteht.;George Bernard Shaw
I am one of those who never knows the direction of my journey until I have almost arrived.;Anna Louise Strong
I define nothing. Not beauty, not patriotism. I take each thing as it is, without prior rules about what it should be. ;Bob Dylan
I see my path, but I don't know where it leads. Not knowing where I'm going is what inspires me to travel it.;Rosalia de Castro
I think of a hero as someone who understands the degree of responsibility that comes with his freedom. ;Bob Dylan
I'll let you be in my dreams if I can be in yours. ;Bob Dylan
Ich fahre ungern wohin. Ich bin lieber schon da gewesen.;Maria Brandauer
Ich würde gern leben wie ein armer Mann mit einem Haufen Geld.;Pablo Picasso
If you need somebody you can trust, trust yourself.;Bob Dylan
Illusionen sind das Brot der Seele. Auch wenn sie sich nicht erfüllen, so halten sie dich doch so lange über Wasser, bis sie sich nicht erfüllen. Dann kommen neue. Manche erfüllen sich ja.;Janosch
Im  Alter bereut man vor allem die Sünden, die man nicht begangen hat.;William Somerset Maugham
In Dir muß brennen, was Du in anderen entzünden willst.;Augustinus
In Hamburg lebten zwei Ameisen, die wollten nach Australien reisen. Bei Altona auf der Chaussee, da taten ihnen die Beine weh. Und da verzichteten sie weise dann auf den letzten Teil der Reise.;Joachim Ringelnatz
It is almost axiomatic that the worst trains take you through magical places.;Paul Theroux
Lass zu, dass die Welt dich veraendert, und du kannst die Welt veraendern.;Diarios de Motociclista
Lebe wie du, wenn du stirbst, wünschen wirst, gelebt zu haben;Christian Fürchtegott Gellert
Leben ist das, was passiert, während du eifrig dabei bist, andere Pläne zu machen.;John Lennon
Liebst Du Dein Kind, so schicke es auf Reisen.;Indisches Sprichwort
Life is far too important to be taken seriously.;Oscar Wilde
Like all great travellers, I have seen more than I remember, and remember more than I have seen. ;Benjamin Disraeli
Man kann eine fremde Stadt besser erfahren, wenn man sie durchläuft.;Erhard Blanck
Man solte nichts auf morgen verschieben, was man auch noch übermorgen erledigen kann.;Oscar Wilde
Most travel is best of all in the anticipation or the remembering; the reality has more to do with losing your luggage.;Regina Nadelson
Mut besteht nicht darin, dass man die Gefahr blind übersieht, sondern darin, dass man sie sehend überwindet.;Jean Paul
Nicht den Tod sollte man fürchten, sondern daß man nie beginnen wird, zu leben.;Marcus Aurelius
Nicht der Tage erinnert man sich sondern der Augenblicke.;n.n
Nicht weil es schwer ist, wagen wir es nicht, sondern weil wir es nicht wagen, ist es schwer.;Lucius Annaeus Seneca
Nichts wahrhaft Wertvolles erwächst aus Ehrgeiz oder bloßem Pflichtgefühl, sondern vielmehr aus Liebe und Treue zu Menschen und Dingen.;Albert Einstein
Niemand wird alt, weil er eine bestimmte Anzahl von Jahren gelebt hat. Menschen werden alt, wenn sie ihre Ideale verraten.;Albert Schweitzer
Nur Reisen ist Leben, wie umgekehrt das Leben Reisen ist.;Jean Paul
Nur Reisen verwandelt das Spießbürgerliche und Kleinstädtische in unserer Brust in etwas Weltbürgerliches und Großstädtisches.;Jean Paul
Oft sagt ein Reisebericht mehr über den Berichtenden aus als über die Reise.;Brigitte Fuchs
One’s destination is never a place, but a new way of seeing things.;Henry Miller
Phantasie ist wichtiger als Wissen. Wissen ist begrenzt, Phantasie aber umfaßt die ganze Welt.;Albert Einstein (1879-1955)
Pure Vernunft darf niemals siegen;Topotronic
Reisen ist leben, wie Leben Reisen ist!;Jean Paul
Reisen ist tödlich für Vorurteile.;Mark Twain
Reisen ist, in jedem Augenblick geboren werden und sterben.;Victor Hugo
Schildkröten können dir mehr über den Weg erzählen als Hasen.;Aus China
Seien wir ehrlich: Das Leben ist immer lebensgefährlich.;Erich Kästner
Sein, was wir sind, und werden, was wir werden können, das ist das Ziel des Lebens.;Baruch de Spinoza
Selten hat man etwas versäumt, wenn man nicht dort war, wo alle waren. ;Nico Dostal
Selten hat man etwas versäumt, wenn man nicht dort war, wo alle waren.;Nico Dostal
Sobald ein Optimist ein Licht erblickt, das es gar nicht gibt, findet sich ein Pessimist, der es wieder ausbläst.;Giovanni Guareschi
Solange Leute saufen und bumsen, wird's auch Rock'n'Roll geben.;David Coverdale
Solange man jung ist, gehören alle Gedanken der Liebe - später gehört alle Liebe den Gedanken.;Albert Einstein (1879-1955)
The more I traveled the more I realized that fear makes strangers of people who should be friends.;Shirley MacLaine
The traveler sees what he sees.  The tourist sees what he has come to see. ;G.K. Chesterton
The traveler sees what he sees.  The tourist sees what he has come to see.;G.K. Chesterton
The traveler was active; he went strenuously in search of people, of adventure, of experience.  The tourist is passive; he expects interesting things to happen to him.  He goes sight-seeing.;Daniel J. Boorstin
Through travel I first became aware of the outside world; it was through travel that I found my own introspective way into becoming a part of it.;Eudora Welty
To awaken quite alone in a strange town is one of the pleasantest sensations in the world.;Freya Stark
Tourists don't know where they've been, travellers don't know where they're going.;Paul Theroux
Travel is more than the seeing of sights; it is a change that goes on, deep and permanent, in the ideas of living.;Miriam Beard
Travelers never think that they are the foreigners.;Mason Cooley
Travelling is a brutality. It forces you to trust strangers and to lose sight of all that familiar comfort of home and friends. You are constantly off balance. Nothing is yours except the essential things - air, sleep, dreams, the sea, the sky - all things tending towards the eternal or what we imagine of it.;Cesare Pavese
Trudele durch die Welt. Sie ist so schön, gib dich ihr hin, und sie wird sich dir geben.;Kurt Tucholsky
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.;Mark Twain
Um ein tadelloses Mitglied einer Schafherde zu sein, muß man vom allem ein Schaf sein.;Albert Einstein (1879-1955)
Um in einer fremdartigen Stadt vertraut zu werden, braucht man einen abgeschlossenen Raum, auf den man ein gewisses Anrecht hat und in dem man allein sein kann, wenn die Verwirrung der neuen und unverständlichen Stimmen zu groß wird.;Elias Canetti
Und ich fragte mich, ob eine Erinnerung etwas ist, das man hat, oder etwas, das man verloren hat...;Woody Allen
Und jedem Anfang wohnt ein Zauber inne, der uns beschützt und der uns hilft.;Hermann Hesse
Verschiebe nicht auf morgen, was genausogut auf übermorgen verschoben werden kann.;Mark Twain
Verschwendete Zeit ist Dasein; gebrauchte Zeit ist Leben.;Edward Young
Verstehen kann man das Leben nur rückwärts. Leben muß man es vorwärts.;Søren Kierkegaard
Vertrauen ist das Gefühl, einem Menschen sogar dann glauben zu können, wenn man weiß, daß man an seiner Stelle lügen würde.;Henry Louis Mencken
Viel zu spät begreifen viele die versäumten Lebensziele:Freude, Schönheit der Natur, Gesundheit, Reisen und Kultur.Darum, Mensch, sei zeitig weise! Höchste Zeit ist´s: Reise, reise!;Wilhelm Busch
Warum reisen wir? - Damit wir noch einmal erfahren, was uns in diesem Leben möglich ist!;Max Frisch
Warum reisen wir? - Damit wir noch einmal erfahren, was uns in diesem Leben möglich ist! ;Max Frisch
Was es alles gibt, das ich nicht brauche!;Aristoteles
Was hinter uns und was vor uns liegt, sind winzige Kleinigkeiten im Vergleich zu dem, was in uns liegt.;Oliver Wendell Holmes
Was ist Reisen? Ein Ortswechsel? Keineswegs! Beim Reisen wechselt man seine Meinungen und Vorurteile. ;Anatole France
Was liegt beim Reisen näher als die Ferne?;Werner Mitsch
Was machen Sie? Nichts. Ich lasse das Leben auf mich regnen.;Rahel Varnhagen
We are all travelers in the wilderness of this world, and the best we can find in our travels is an honest friend.;Robert Louis Stevenson
We need to give ourselves permission to act out our dreams and visions, not look for more sensations, more phenomena, but live our strongest dreams -- even if it takes a lifetime. ;Vijali Hamilton
Wege entstehen dadurch, daß man sie geht.;Franz Kafka
Wenn ... ich mein Leben noch einmal leben dürfte, würde ich viel mehr Fehler machen. Ich würde entspannen. Ich würde viel verrückter sein als in diesem Leben. Ich wüßte nur wenige Dinge, die ich wirklich sehr ernst nehmen würde. Ich würde mehr Risiko eingehen. Ich würde mehr reisen. Ich würde mehr Berge besteigen, mehr Flüsse durchschwimmen und mehr Sonnenuntergänge betrachten. Ich würde mehr Eis und weniger Salat essen. Ich hätte mehr echte Probleme und weniger eingebildete. Wenn ich mein Leben noch einmal leben dürfte, würde ich bei den ersten Frühlingsstrahlen barfuß gehen und vor dem Spätherbst nicht damit aufhören. Ich würde vieles einfach schwänzen. Ich würde mehr Achterbahn fahren. Und ich würde mehr mit Kindern spielen.;Jorge Luis Borges
Wenn die Zeit kommt, in der man könnte, ist die vorüber, in der man kann.;Marie von Ebner-Eschenbach
Wenn du ein fremdes Land betrittst, frage, was dort verboten ist.;Konfuzius
Wenn du ein Schiff bauen willst, so trommle nicht Männer zusammen, um Holz zu beschaffen, Werkzeuge vorzubereiten, Aufgaben zu vergeben, und die Arbeit einzuteilen, sondern lehre die Männer die Sehnsucht nach dem weiten endlosen Meer.;Antoine de Saint-Exupery
Wenn ein Reisender nach Hause zurückkehrt, soll er nicht die Bräuche seiner Heimat eintauschen gegen die des fremden Landes. Nur einige Blumen, von dem, was er in der Ferne gelernt hat, soll er in die Gewohnheiten seines eigenen Landes einpflanzen. ;Francis Bacon
Wenn ich im Ausland bin, will ich mich nicht zuhause fühlen.;George Bernhard Shaw
Wenn jemand eine Reise tut, so kann er was erzählen.;Matthias Claudius
Wer A sagt, muß nicht B sagen. Er kann auch erkennen, daß A falsch war.;Bertold Brecht
Wer an die Freiheit des menschlichen Willens glaubt, hat nie geliebt und nie gehaßt.;Marie von Ebner-Eschenbach
Wer das Leben nicht schätzt, der verdient es nicht.;Leonardo da Vinci
Wer einem Fremdling nicht sich freundlich mag erweisen. Der war wohl selber nie im fremden Land auf Reisen. ;F.Rückert
Wer etwas Außergewöhliches erleben will, muß eine außergewöhnliche Situation suchen.;Sergius Golowin
Wer glaubt, etwas zu sein, hat aufgehört, etwas zu werden.;Philip Rosenthal
Wer kämpft kann verlieren, wer nicht kämpft hat schon verloren.;Antoine de Saint-Exupery
Wer kämpft, kann verlieren. Wer nicht kämpft, hat schon verloren.;Bertolt Brecht
Wer nicht mit dem zufrieden ist, was er hat, der wäre auch nicht mit dem zufrieden, was er haben möchte.;Berthold Auerbach
Wer nicht reist, wird nicht den Wert der Menschen schätzen lernen.;Aus Mauretanien
Wer nie weggegangen ist, versteht die Heimkehrenden nicht.;Walter Ludin
Wer nur um Gewinn kämpft, erntet nichts, wofür es sich lohnt, zu leben.;Antoine de Saint-Exupery
Wer ohne Verrücktheit lebt, ist nicht so klug, wie er glaubt.;La Rochefoucault
Wer ohne Verrücktheit lebt, ist nicht so klug, wie er glaubt. ;La Rochefoucault
Wer sich nicht mehr wundern kann, der ist seelisch bereits tot.;Albert Einstein (1879-1955)
What you've done becomes the judge of what you're going to do - especially in other people's minds.  When you're traveling, you are what you are right there and then.  People don't have your past to hold against you.  No yesterdays on the road.;William Least Heat Moon
What's money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do. ;Bob Dylan
Wie der Tag zwischen Morgen und Abend, so vergeht zwischen Reisetrieb und Heimatwunsch mein Leben. Vielleicht werde ich einmal so wiet sein, daß Reise und Ferne mir in der Seele gehört, daß ich ihre Bilder in mir habe, ohne sie mehr verwirklichen zu müssen. Vielleicht auch komme ich einmal dahin, daß ich die Heimat in mir habe, und dann gibt es kein Liebäugeln mit Gärten und roten Häuschen mehr. - Heimat in sich haben! Wie wäre da das Leben anders! Es hätte eine Mitte, und von der Mitte aus schwängen alle Kräfte. So aber hat mein Leben keine Mitte, sondern schwebt zuckend zwischen vielen Reihen von Polen und Gegenpolen. Sehnsucht nach Daheimsein hier, Sehnsucht nach Unterwegssein dort. Verlangen nach Einsamkeit und Kloster hier, und Drang nach Liebe und Gemeinsamkeit dort! ;Hermann Hesse
Wir leben alle unter dem gleichen Himmel, aber wir haben nicht alle den gleichen Horizont.;Konrad Adenauer
Wir reisen nicht nur an andere Orte, sondern vor allem reisen wir in andere Verfassungen der eigenen Seele.;Werner Bergengruen
Wir sollten viel öfter von ganzem Herzen etwas tun, das kein Ziel verfolgt, keine Eile hat und sich nicht lohnen muss.;Jochen Mariss
Wo immer du hingehst, hat der Himmel dieselbe Farbe.;Aus Persien
Yesterday's just a memory, tomorrow is never what it's supposed to be.;Bob Dylan
Zum Reisen gehört Geduld, Mut, Humor und daß man sich durch kleine widrige Zufälle nicht niederschlagen lasse.;Adolph von Knigge
Zur Wahrscheinlichkeit gehört auch, daß das Unwahrscheinliche eintreten kann!;Aristoteles
Ärgere dich nicht darüber, dass der Rosenstrauch Dornen trägt, sondern freue dich darüber, dass der Dornenstrauch Rosen trägt.;"Arabisches Sprichwort  	"